address_street,address_house
Павловская улица,94
проспект Энергетиков,74
улица Пограничника Гарькавого,42К1
Витебский проспект,61К3
улица Новоселов,7
Пискаревский проспект,39
Северный проспект,89К1
Будапештская улица,23К4
проспект Металлистов,25К1
Авангардная улица,7
Павловская улица,50
Тверская улица,30
Красная улица,12
улица Руставели,24
улица Лени Голикова,23К7
Новгородская улица,8
улица Ольги Берггольц,29К2
Озерковая улица,19
улица Генерала Хазова,26
улица Партизана Германа,28
Волковский проспект,116
Витебский проспект,53К4
Дачный проспект,21К6
улица Пограничника Гарькавого,20К4
улица Пограничника Гарькавого,16К1
улица Воскова,11
улица Шелгунова,39
проспект Энергетиков,74
проспект Юрия Гагарина,38К3
улица Партизана Германа,33
бульвар Алексея Толстого,48/33
Пролетарская улица,103
Гатчинское шоссе,7к2
улица Политрука Пасечника,11к2
Пролетарская улица,103
улица Тазаева,14
Тверская улица,26
Тверская улица,26
улица Лермонтова,14
Тверская улица,30
Новороссийская улица,44
Красногвардейская площадь,6
Гражданский проспект,15К4
Караваевская улица,31К3
проспект Ветеранов,144/21
Кондратьевский проспект,83К1
Новоизмайловский проспект,15
улица Карпинского,36К7
Витебский проспект,33К4
улица Бутлерова,28
Кузнецовская улица,10
Ланское шоссе,12К1
Заневский проспект,28
улица Лени Голикова,27К3
улица Солдата Корзуна,7
улица Турку,11к1
Народная улица,52
проспект Славы,2К1
Озерковая улица,49к3
проспект Шаумяна,46
улица Карла Маркса,12
улица Турку,12К2
Ленинский проспект,138/5
проспект Юрия Гагарина,24К1
проспект Славы,2К3
проспект Металлистов,82
улица Крюкова,1
бульвар Алексея Толстого,30
Гражданский проспект,27К2
проспект Большевиков,61К3
Гранитная улица,62
Школьная улица,56
Краснопутиловская улица,78
Караваевская улица,27К2
Наличная улица,39К1
Новоизмайловский проспект,28К1
Пискаревский проспект,10
Гражданский проспект,13К1
Московское шоссе,2
проспект Металлистов,25К3
Школьная улица,68
Якорная улица,1
улица Верности,28К3
улица Верности,30
проспект Металлистов,83
улица Костюшко,44
улица Солдата Корзуна,17
проспект Юрия Гагарина,18К2
Пискаревский проспект,21
улица Орджоникидзе,35К2
улица Замшина,19
Красносельское шоссе,53
проспект Энергетиков,54К1
Краснопутиловская улица,72
бульвар Новаторов,116
проспект Раевского,22
Краснопутиловская улица,68
Меншиковский проспект,5К3
проспект Народного ополчения,57
Авангардная улица,45К2
Искровский проспект,25
Бухарестская улица,35К3
улица Бабушкина,90
Якорная улица,6
проспект Ветеранов,158
Новоизмайловский проспект,15
улица Володарского,17
проспект Металлистов,23К2
бульвар Новаторов,116
Пискаревский проспект,35
Дачный проспект,19К3
улица Зины Портновой,1/3
улица Лени Голикова,76
Саперная улица,45
Народная улица,70
проспект Тореза,38К1
улица Софьи Ковалевской,15К3
проспект Науки,24К1
Брюсовская улица,4
Дачный проспект,21К6
Приморское шоссе,342
Александровская улица,51
проспект Мечникова,8К1
проспект Металлистов,76
Центральная улица,16
Брюсовская улица,6
Ахматовская улица,31
улица Карпинского,22
улица Солдата Корзуна,3
улица Новоселов,63
Павловское шоссе,25а
проспект Энергетиков,54К2
улица Пограничника Гарькавого,26К4
Кингисеппское шоссе,10к2
Загородная улица,48
улица Федосеенко,25
Заводская улица,18
Загородная улица,48
улица Пограничника Гарькавого,33
проспект Космонавтов,84
улица Орджоникидзе,41К1
проспект Маршала Блюхера,67К2
проспект Маршала Жукова,70К2
Торжковская улица,16
проспект Маршала Жукова,74К2
проспект Славы,10К3
улица Лени Голикова,23К7
улица Тельмана,40
улица Адмиралтейская,15
Белградская улица,32
улица Шотмана,4
Витебский проспект,31К1
Витебский проспект,87К3
проспект Славы,12к1
улица Пограничника Гарькавого,36К2
проспект Ленина,53
улица Бабушкина,107
Краснопутиловская улица,72
проспект Ветеранов,152К3
проспект Маршала Жукова,70К2
Ленинградская улица,58
улица Руставели,28
Витебский проспект,47К3
улица Халтурина,9
Тверская улица,20
улица Юных пионеров,16
Тверская улица,15
улица Юных пионеров,16
Пискаревский проспект,17К3
Гатчинское шоссе,7к1
проспект Ленина,71
улица 1-я Нижняя,1
Александровская улица,36а
улица Лермонтова,12к2
Гражданский проспект,25К2
Искровский проспект,25
улица Шотмана,4
